"lat" "lon" "nl" "sample" "hhid" "cons" "weight" "rururb" "room" "metal"
-10.6794 34.0775 0 1 "0395-006" 0.0284034803237048 210.619384765625 "rural" 5 FALSE
-10.6794 34.0775 0 1 "0399-001" 0.00851089300513197 213.360763549805 "rural" 3 FALSE
-10.6794 34.0775 0 1 "0407-001" 0.00934826527412291 421.23876953125 "rural" 4 FALSE
-10.6794 34.0775 0 1 "0401-001" 0.00535437288646567 421.23876953125 "rural" 3 FALSE
-10.6794 34.0775 0 1 "0409-001" 0.0220523827296591 426.721527099609 "rural" 4 FALSE
-10.6794 34.0775 0 1 "0405-001" 0.0176627735592352 210.619384765625 "rural" 2 FALSE
-10.6794 34.0775 0 1 "0389-001" 0.0166911678838996 429.745666503906 "rural" 3 FALSE
-10.6794 34.0775 0 1 "0403-001" 0.0200558494996244 417.292755126953 "rural" 3 FALSE
-10.6794 34.0775 0 1 "0401-003" 0.00811563041959031 219.607925415039 "rural" 3 FALSE
-10.6794 34.0775 0 1 "0415-001" 0.0309414321905676 421.23876953125 "rural" 2 FALSE
-10.6794 34.0775 0 1 "0393-001" 0.0144442076725996 426.721527099609 "rural" 2 FALSE
-10.6794 34.0775 0 1 "0411-001" 0.0122467705203889 210.619384765625 "rural" 2 FALSE
-10.6794 34.0775 0 1 "0413-001" 0.0124658107521945 439.215850830078 "rural" 2 FALSE
-10.734451 34.168061 0 1 "0398-004" 0.0136360356889837 128.03010559082 "rural" 3 FALSE
-10.744606 34.021889 0 1 "0401-004" 0.0214534678828405 214.872833251953 "rural" 2 FALSE
-10.786366 34.064585 0 1 "0400-001" 0.00867336961881645 259.346466064453 "rural" 2 FALSE
-10.850998 34.000372 0 1 "1855-003" 0.0112993946620115 600.767272949219 "urban" 2 FALSE
-10.87504 33.451578 0 1 "0725-006" 0.00657491313347041 54.7731170654297 "urban" 4 FALSE
-10.912307 33.67697 0 1 "0370-002" 0.00892551879351092 182.017623901367 "rural" 1 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0357-001" 0.0132711510802992 179.582275390625 "rural" 1 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0359-001" 0.00895270510551425 348.884796142578 "rural" 2 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0363-001" 0.00542467893609232 181.887023925781 "rural" 3 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0371-001" 0.00964241072899169 355.930480957031 "rural" 3 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0355-001" 0.00675506448769171 177.965240478516 "rural" 8 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0373-001" 0.0116661388965713 348.884796142578 "rural" 3 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0381-001" 0.0137007253391119 348.884796142578 "rural" 2 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0361-001" 0.0180767767228273 175.567962646484 "rural" 5 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0365-001" 0.00383071354865508 359.16455078125 "rural" 2 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0379-001" 0.00847764035519187 355.930480957031 "rural" 3 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0369-001" 0.004905906713968 348.884796142578 "rural" 3 FALSE
-10.9368 33.9124 0.0206521739130435 1 "0383-001" 0.00611233325346114 353.425811767578 "rural" 3 FALSE
-10.950477 33.723828 0.0315709395207303 1 "1331-007" 0.00998434642740671 734.39794921875 "rural" 3 FALSE
-10.95703 33.96655 0.127077223851417 1 "0397-001" 0.012969097108738 429.745666503906 "rural" 3 FALSE
-10.991591 33.921646 0.098326359832636 1 "0354-004" 0.00467330706252854 154.969497680664 "rural" 3 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0350-001" 0.0249865203491261 304.986755371094 "rural" 3 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0358-001" 0.0350310665085325 364.035247802734 "rural" 3 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0352-001" 0.020299268368883 330.961791992188 "rural" 2 FALSE
-10.9995 33.7092 0.0928109547356409 1 "0366-002" 0.0336954352575655 364.035247802734 "rural" 1 FALSE
