"lat" "lon" "cons" "nl" "n" "sample"
5.14203254737 7.37471602851 10.3525012465979 21.8109090909091 9 1
5.14601648677 6.61622345941 4.31399344646158 26.452 10 1
5.15341945792 7.59318224517 3.15998097852737 4.328 8 1
5.25625865911 6.61941404124 4.59410547691144 46.3290043290043 10 1
5.26959130436 6.30405776041 2.36443491666419 4.40454545454545 8 1
5.276399221 7.72157200275 2.3461149001053 0.581818181818182 9 1
5.28795684803 6.99396887212 3.69398263497211 2.465 10 1
5.31524834074 7.4334346461 3.32370291905441 5.70813397129187 10 1
5.32569602757 6.89672161071 3.96056074694849 5.86363636363636 9 1
5.35086568605 7.40188916719 3.94417301812963 5.98989898989899 10 1
5.37543571206 7.08733204974 7.87972732540548 7.09090909090909 9 1
5.38520298007 7.5278870437 3.37652576059139 3.31016042780749 8 1
5.41868312062 5.75708490409 4.66222582198455 10.096256684492 10 1
5.44315706398 7.05253754146 6.9413994864467 17.8181818181818 10 1
5.45868572043 7.22201733456 3.10765146134654 7.86363636363636 10 1
5.49303723775 6.22086915373 6.58104836506298 32.9261363636364 10 1
5.4978516061 5.82187907485 9.20459215635868 34.3454545454545 9 1
5.50002620235 7.20142229471 4.77992974690562 7.93333333333333 10 1
5.51610389484 5.70809600899 8.6943914089023 34.4060606060606 7 1
5.5223818305 7.04931503016 9.52919173724398 24.6060606060606 5 1
5.53545594433 7.53153560163 9.92798912096366 12.1151515151515 8 1
5.54243058617 7.18849715679 2.70161944424888 7.03896103896104 10 1
5.54711501136 5.8168929288 6.10573482996853 39.6727272727273 9 1
5.55555406781 7.611029751 5.79229011530307 0.175324675324675 9 1
5.56220655235 7.34072478152 3.81826099626509 9.96 10 1
5.59093085015 7.36813000489 8.39888338281425 9.64285714285714 6 1
5.62819774804 5.92368425969 3.63013404255001 9.62937062937063 8 1
5.65672719049 7.32275326356 4.85886443305511 5.41258741258741 10 1
5.66488837725 7.04132994795 3.38217672583653 8.66433566433567 10 1
5.67943596365 7.08250261971 3.35833789090692 8.06153846153846 10 1
5.68062519373 6.4106027931 9.97836491666892 38.2167832167832 9 1
5.69861467033 7.51949932817 5.16769259461408 2.27272727272727 10 1
5.72024007766 7.24106174919 3.69535818585409 2.96153846153846 10 1
5.7463142697 6.98741725027 5.02023916016012 7.88333333333333 10 1
5.75004501547 6.00057874843 3.23678478631677 7.27272727272727 7 1
5.77121166469 7.7768731363 3.68550433201092 0.5 8 1
5.78882325094 6.91399612712 3.26160860370387 7.87121212121212 10 1
5.817367247 8.08849790176 3.55009567832377 2.31060606060606 10 1
5.8249809823 6.86724219974 3.42442556810646 8.36363636363636 10 1
5.8341944655 7.01780657473 5.44000122561875 8.84090909090909 10 1
5.83737244027 7.15281867916 2.76721945000024 4.2 10 1
5.87050766081 6.89768044152 4.1327704347373 8.55833333333333 10 1
5.90239078833 7.88108495188 1.5517086868093 2.12121212121212 10 1
5.91776306029 7.08737420747 5.72113793885826 9.09848484848485 10 1
5.91892832509 7.42249845731 4.27602475789915 1.66666666666667 10 1
5.92345578983 7.54998693813 2.89809919219873 2.3801652892562 10 1
5.92350211798 6.26530576313 5.32818768051615 22.297520661157 9 1
5.92433724341 6.99014119434 7.97999529570703 7.69421487603306 9 1
5.93434596942 8.14702576943 2.72193788972542 0.181818181818182 10 1
5.94843768037 8.91209387381 1.62459463962653 0 9 1
5.97697115544 7.69542430371 2.41802049433401 0 10 1
5.98466768886 6.90304610994 7.10995439108013 13.1969696969697 9 1
5.98776036565 7.09183471113 6.04848769675741 10.5636363636364 10 1
6.00420085033 7.05712166484 7.075600951777 11.9363636363636 9 1
6.01584229399 4.88254321566 5.25265424020803 8.39669421487603 6 1
6.02557845775 7.02851464405 6.25041893613205 11.396694214876 10 1
6.07262558501 6.83932595204 5.85276157540598 15.3719008264463 10 1
6.09841937207 7.80601488159 2.46647432038924 0.347107438016529 10 1
6.10137761736 7.18988708702 4.00358151609133 2.44628099173554 10 1
6.10526707784 6.91715445736 3.54834237862028 11.2314049586777 9 1
6.11297496554 6.77271141087 5.02294518035593 26.2545454545455 8 1
6.11554285941 6.17661906842 4.12397841775698 3.69421487603306 10 1
6.1245359666 6.94962416146 5.30585876365471 10.6776859504132 10 1
6.12719827759 6.19491690513 6.03821082939754 4.36363636363636 10 1
6.1285244189 6.77187514997 6.28032370756342 31.9 9 1
6.13080945767 6.95268589556 5.4763636895203 10.9504132231405 9 1
6.13508730788 6.27951537976 5.52261765520119 1.02727272727273 10 1
6.1357229762 8.19044376243 1.45161955870555 0 10 1
6.13830921581 6.79309260454 7.33369884168711 36.4636363636364 9 1
6.15062167012 7.94504082969 2.22695924842578 0 9 1
6.15849115609 8.36649395856 1.72678968724809 0 10 1
6.16779029063 7.00668904073 5.81193193371503 13.2644628099174 10 1
6.19155497242 5.06145630033 2.88899674257065 0 10 1
6.21969774922 4.65801363847 4.71593899279737 0 8 1
6.24153758762 6.9368284516 4.98489119637988 8.84545454545455 7 1
6.24318997534 7.61718158261 3.38879126371547 1.27272727272727 9 1
6.28524505144 7.31597545017 3.75977024940323 5.00826446280992 8 1
6.29112587931 8.24412304517 1.26461764926951 0 10 1
6.29487701088 7.06416881346 4.68980902647996 5.53719008264463 9 1
6.30707299833 6.97017505862 4.41995424808105 2.04545454545455 9 1
6.30995278146 5.69852872786 4.5920982719826 21.9338842975207 9 1
6.31316440344 6.96516116294 3.0780563254217 1.77272727272727 10 1
6.31723421115 5.65757847009 5.94670778984712 44.8181818181818 7 1
6.32314678579 8.11608584385 12.8746954612953 14.7107438016529 10 1
6.32851769839 7.92322617905 1.91198573869181 0 10 1
6.33665067996 5.59674395675 4.51169701666957 54.0909090909091 9 1
6.35401498931 6.83825461618 3.43463979441816 3.11 9 1
6.35671357662 5.63477919828 5.45784226340422 50.3140495867769 7 1
6.366917857 7.22449517406 3.1061829581626 0.388429752066116 10 1
6.37484011777 7.95872670003 1.53703440891877 3.75206611570248 10 1
6.38063010312 5.58461144938 5.01303301505183 34.6115702479339 8 1
6.39751545303 8.38341221361 4.56154412295578 0 10 1
6.39885088562 6.56869108498 6.34840410111137 0.801652892561983 10 1
6.41732336271 3.39197205779 8.73971669345074 41.4380165289256 1 1
6.43267960199 6.19725881709 5.62535684120341 0.305785123966942 10 1
6.44305604944 6.58324477885 6.40582512546121 0 9 1
6.45550212441 7.47905887095 7.13984793292945 39.0636363636364 9 1
6.45554810442 3.1662651602 5.14524167323965 31.1570247933884 7 1
6.45646508964 7.92548399948 1.54378951875887 3.76859504132231 9 1
6.47041667546 7.48763101682 17.2499314600664 41.0363636363636 7 1
6.47669421647 3.35082050227 5.02403463294199 62.702479338843 9 1
6.47942683802 7.76832453208 5.40823007809472 0.763636363636364 10 1
6.48675916551 9.15791712715 2.54825444524395 0 9 1
6.49296228892 3.31885987407 4.73019051073171 61.9669421487603 6 1
6.49405351597 4.74113115164 5.52138090632853 3.58677685950413 8 1
6.49678035701 3.31637263591 5.24023057042603 62.1239669421488 9 1
6.49837750849 3.38904971244 6.90050833395772 54.4628099173554 7 1
6.50038534186 9.1464710572 1.77250000903276 0 8 1
6.50045244209 3.59690898231 9.05890979309891 28.2396694214876 7 1
6.50189424991 3.24117564542 6.29086693195867 47.3636363636364 8 1
6.50579840795 8.87016201696 5.68194231902118 0 9 1
6.50720123836 3.19201461276 4.53817635126057 37.9173553719008 10 1
6.51633680839 5.67282952693 4.26168976635152 0.760330578512397 8 1
6.53433439066 3.38757029698 6.8901614428784 51.7727272727273 8 1
6.55332176691 7.02906000742 3.70096554241938 0 10 1
6.58890953692 3.37870207828 7.38581290659196 56.5681818181818 8 1
6.59894318499 3.32829954463 10.6560573414562 63 4 1
6.60106374452 3.30792972603 7.97778481621355 62.9256198347107 7 1
6.60385096475 3.49602227601 8.92148301078339 38.1916666666667 10 1
6.63036521164 3.31816332437 6.03481029949175 62.8677685950413 8 1
6.64530644829 3.30560856778 5.41689652295851 62.4833333333333 5 1
6.65330181734 3.26893565308 6.74669623815889 58.4083333333333 9 1
6.65413238327 3.83758150929 2.99403302277593 0.325 3 1
6.6566194036 8.20003878675 2.81393659533794 0 10 1
6.65726327818 6.26200391636 3.77771486506126 2.27272727272727 10 1
6.66794394016 3.32278630171 8.33735178619548 59.6818181818182 9 1
6.68239350802 7.29851954082 2.71458943750657 0.439393939393939 10 1
6.69062278476 3.29377484926 6.77001160817616 56.1818181818182 9 1
6.69108625754 9.17602405307 1.80237367310489 2.16528925619835 9 1
6.69118125694 8.13510252436 1.30179560190628 0 10 1
6.69323689452 9.22460085821 4.87134053517433 0.231404958677686 10 1
6.70744963598 3.28768108533 6.63630241981478 51.8939393939394 9 1
6.70773000195 3.24220248127 6.47508487371333 54.1157024793388 8 1
6.71628234929 8.94761488299 1.99268963339557 0.181818181818182 9 1
