"lat" "lon" "cons" "nl" "n" "sample"
-0.576782405376434 31.6916370391846 3.43644534169181 0.0909090909090909 8 1
-0.567364752292633 30.4266242980957 3.05887921609006 0 9 1
-0.56057220697403 30.6788005828857 5.13342610319586 5.32575757575758 8 1
-0.556546568870544 30.1343879699707 3.34384846978241 1.62937062937063 9 1
-0.553773462772369 30.3036918640137 4.91745200989811 0 9 1
-0.5497967004776 30.0675220489502 3.25240391453474 0.237762237762238 9 1
-0.539219200611115 30.7055931091309 2.74982493328925 1.71212121212121 1 1
-0.536995410919189 30.0173168182373 2.01360992912971 0 1 1
-0.530627489089966 32.3274917602539 5.76548514015951 0 3 1
-0.528355836868286 29.9541797637939 4.93997966006002 0 7 1
-0.522386312484741 31.3553428649902 3.18729289434531 0 9 1
-0.51861160993576 31.1944370269775 2.23323214756736 0 6 1
-0.508830487728119 31.3332862854004 2.69683807104832 0 11 1
-0.503361105918884 31.6160697937012 4.88450550391713 1.82307692307692 6 1
-0.492146402597427 30.5141677856445 4.53888787281495 0 1 1
-0.471200257539749 31.3637866973877 3.11701404110524 0 11 1
-0.402727663516998 31.3498954772949 6.78012650021078 0.884297520661157 1 1
-0.378038644790649 31.7260093688965 5.96053037779747 5.0495867768595 1 1
-0.370604664087296 31.749454498291 3.54896701145144 4.98181818181818 1 1
-0.364492684602737 31.1595478057861 1.60723374526929 1.46280991735537 1 1
-0.344247996807098 31.5716648101807 3.23383544567388 1.59090909090909 9 1
-0.343147128820419 31.7253131866455 18.6333703957048 10.7190082644628 5 1
-0.34035649895668 31.1840381622314 5.20103678399928 0.148760330578512 1 1
-0.323038339614868 30.5947933197021 3.03765063048085 0 10 1
-0.314625114202499 31.7481575012207 5.74810123340388 12.0495867768595 1 1
-0.314386487007141 31.768533706665 5.94807366270735 10.7107438016529 1 1
-0.303979516029358 30.3784961700439 2.91102937906857 0 10 1
-0.303412914276123 31.72287940979 3.80447088626103 11.3181818181818 1 1
-0.301559329032898 31.7502498626709 1.91678323333198 10.801652892562 1 1
-0.29533115029335 31.2187824249268 4.57111180076586 0 8 1
-0.292247772216797 31.4787216186523 4.60804839626636 0.0454545454545455 8 1
-0.291444003582001 31.7913436889648 2.92213296134331 5.71074380165289 8 1
-0.278873801231384 30.8901271820068 2.86166470121168 0 8 1
-0.27213916182518 31.7503662109375 7.99158891775741 6.70247933884298 1 1
-0.260062783956528 30.129674911499 2.71341735706284 0 8 1
-0.248543187975883 31.6678161621094 3.17412488798543 0.0909090909090909 7 1
-0.227396413683891 30.4021682739258 4.40679617723937 0 12 1
-0.205463990569115 31.5668087005615 5.75755841872956 0.0495867768595041 1 1
-0.197683021426201 31.8102912902832 3.44833382689767 0.0413223140495868 10 1
-0.155980333685875 31.400016784668 2.06508934100112 0 1 1
-0.15113827586174 30.9488544464111 2.36378562577843 0 3 1
-0.151018559932709 31.4375495910645 3.46229856018173 0 10 1
-0.142147570848465 31.8796768188477 5.24058121641852 0.958677685950413 4 1
-0.132562950253487 30.4788208007812 6.57461020542871 0.7 8 1
-0.120474293828011 31.8799686431885 8.13847189000492 1.05454545454545 1 1
-0.107999116182327 31.1247825622559 1.35770307197338 0 1 1
-0.105038173496723 30.2642192840576 2.40246935428574 0 6 1
-0.0795709863305092 31.6357078552246 2.616394544258 0 9 1
-0.0435730405151844 32.0053062438965 5.83629099790183 0.471074380165289 1 1
-0.015238362364471 30.9372711181641 2.50107554988672 0 1 1
0.000341503007803112 29.7339096069336 2.19028891617886 0.528925619834711 12 1
0.000976596027612686 31.7997989654541 2.09175325254532 0 5 1
0.0148298358544707 30.5203266143799 3.28938790819694 0 9 1
0.0299270804971457 32.0245895385742 1.87698349728995 0.845454545454545 1 1
0.0393437594175339 32.5403861999512 6.89881185506762 2.59504132231405 7 1
0.0560901910066605 32.3109283447266 4.05805515766061 0 4 1
0.0584137737751007 29.9493350982666 3.0816021863826 0 9 1
0.0677282065153122 32.4715919494629 5.01986206909589 16.2636363636364 6 1
0.0716098621487617 32.0928726196289 4.44396413801972 1.5 10 1
0.0804493054747581 29.8522396087646 2.03375490220701 0 8 1
0.0808010026812553 30.4895534515381 4.62762927497073 0 1 1
0.103999450802803 33.7830924987793 1.07348289716891 0 2 1
0.112059839069843 31.7603454589844 3.56823094498022 0 8 1
0.112189784646034 33.4779624938965 4.96303559751291 0 7 0
0.142605289816856 30.495325088501 3.4286348248834 0 10 1
