"lat" "lon" "nl" "sample" "hhid" "cons" "rururb" "weight" "room" "metal"
-1.33564983308 31.8229351675 1.72332015810277 1 "3016-001" 5.50427101435964 "URBAN" 2417.59692382812 2 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3016-006" 7.60227650823946 "URBAN" 1295.23864746094 2 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3018-001" 4.36809268459283 "URBAN" 4678.88134765625 1 FALSE
-1.33564983308 31.8229351675 1.72332015810277 1 "3019-001" 6.88884654225432 "URBAN" 4865.23193359375 3 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3020-001" 5.82407770860946 "URBAN" 2514.060546875 2 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3021-001" 5.27565542317747 "URBAN" 4584.64697265625 2 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3022-001" 2.40081402085345 "URBAN" 2269.80981445312 6 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3023-001" 4.46796250215215 "RURAL" 2247.11352539062 2 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3024-001" 11.4264179738303 "URBAN" 3118.435546875 4 TRUE
-1.33564983308 31.8229351675 1.72332015810277 1 "3025-001" 9.2237475243083 "URBAN" 3118.435546875 2 TRUE
-1.33849968632 31.6846828759 1.56866537717602 1 "2928-001" 2.88008906230116 "RURAL" 988.5302734375 8 TRUE
-1.33849968632 31.6846828759 1.56866537717602 1 "2928-003" 3.72711275752793 "RURAL" 1008.82745361328 4 TRUE
-1.33849968632 31.6846828759 1.56866537717602 1 "2931-001" 3.04190784062381 "RURAL" 4230.1357421875 5 FALSE
-1.33849968632 31.6846828759 1.56866537717602 1 "2932-001" 2.07095586778829 "RURAL" 1999.44104003906 5 TRUE
-1.33849968632 31.6846828759 1.56866537717602 1 "2930-001" 4.6942253058098 "RURAL" 3989.66137695312 5 FALSE
-1.33849968632 31.6846828759 1.56866537717602 1 "2930-003" 4.09184140037823 "RURAL" 1994.83068847656 6 TRUE
-1.33849968632 31.6846828759 1.56866537717602 1 "2935-001" 3.66365248948921 "RURAL" 3851.78100585938 5 TRUE
-1.33849968632 31.6846828759 1.56866537717602 1 "2936-001" 2.8350140215449 "RURAL" 3921.7060546875 5 TRUE
-1.33849968632 31.6846828759 1.56866537717602 1 "2934-001" 3.97661572801694 "RURAL" 4182.7861328125 1 TRUE
