DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
RW201000000021,RWGE61FL,RW,2010,21,RW2010DHS,103445.8359,118207.1563,133319.375,293.2240333,329.2783225,376.2650647,424.3687508,9385.978082,0.000570618,0.00197391,0.004829595,-9999,2388.916667,2405.75,2445.5,2445.833333,2864.916667,2886,2849.166667,26.31306991,13.0,0.129930789,0.428963833,0.746920384,0.15819269,0.07867803,0.044462474,0.046770394,0.008992835,1459.772603,14549.21819,8760.696111,2908.280582,1381.909091,1500.727273,1433,1053.272727,1125.545455,1331.636364,1315.636364,5.619896457619863,0,0,0,17.31900024,17.79219971,17.25939941,17.44639893,17.48999939,17.24700012,16.979599,17.4302002,17.225,17.23980103,17.62839966,17.84700012,144.5013699,98176.95313,106619.2813,116278.8828,123360.4219,312.5069478,339.379713,370.1271795,392.6684185
RW201000000022,RWGE61FL,RW,2010,22,RW2010DHS,143094.7344,163513.8125,184418.25,405.6114457,455.4846862,520.4806305,587.0215217,7403.322404,0.001901487,0.003438415,0.007082559,-9999,3401.111111,3436.555556,3507.888889,3519.666667,3607.555556,3578.666667,3588.222222,29.61035422,12.0,0.15487308,0.433622949,0.757045702,0.188967975,0.081048791,0.051516294,0.084879025,0.180120468,1554.393443,17070.79756,41898.8978,21183.60186,1075.777778,1009.666667,998.8888889,768.7777778,947.4444444,1137.555556,965.4444444,2.548122718685963,0,0,0,19.5719986,20.60699972,19.60666656,19.82566706,20.00166575,19.80133311,19.32099915,19.72433345,19.54799906,19.43400065,20.16466649,20.47333272,171.8333333,129213.5156,149531.3125,174298.8438,198300.2813,411.2993944,475.9729506,554.8104513,631.2093997
RW201000000023,RWGE61FL,RW,2010,23,RW2010DHS,31293.89258,35759.41016,40331.07422,2217.614775,2490.288846,2845.643445,3209.444911,5800.571429,0.200657507,0.241710663,0.445629319,-9999,2568,2545,2538,2725,2567,2512,2552,41.35714286,11,0.135930628,0.291371082,0.561258674,0.17016533,0.058327604,0.018759467,0.030347882,5.979952056,1619.857143,41510.66995,62477.80773,22103.15955,999,1014,892,713,992,1067,830,2.278027670724051,3,3,3,20.46899986,21.23399925,20.24399948,20.48900032,20.63199997,20.40299988,20.02899933,20.58300018,20.39100075,20.08099937,20.72299957,21.23500061,18.35714286,22472.70508,26335.35156,31184.85742,36134.44141,1788.321049,2095.700689,2481.612104,2875.487483
RW201000000024,RWGE61FL,RW,2010,24,RW2010DHS,288452.6563,331038.3438,375597.25,812.9709595,918.173322,1053.727775,1195.563179,10085.25,0.034979557,0.051869474,0.160283625,-9999,3389.2,3367,3376.7,3391.9,3691.1,3634.8,3611.9,36.74175824,14.0,0.01053729,0.27025199,0.598560162,0.219557464,0.137044171,0.044062773,0.06507052,0.162986042,1436.574176,4615.080563,8580.35617,9938.369316,1228.8,1285.5,1270.2,1013.8,951.6,1401.1,1218.7,4.653605366801168,0,2,2,16.59149933,16.97674942,16.54750061,16.83174896,16.80525017,16.65225029,16.25099945,16.79199982,16.50374985,16.41824913,16.76124954,16.9042511,212.0164835,281435.9063,321254.2813,375371.9063,437303.5625,895.838313,1022.584137,1194.845888,1391.980472
RW201000000025,RWGE61FL,RW,2010,25,RW2010DHS,173088.1719,198428.8125,224751.7031,488.386539,550.956763,631.6185272,715.4068903,9471.868493,0.004273163,0.006311236,0.02241308,-9999,3200.4,3203.1,3195.8,3195.8,3462.2,3491,3493.4,36.14794521,14.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.005366239,1428.010959,7287.136247,4230.128239,2764.066852,1267.181818,1289.363636,1275.727273,1051.272727,1063,1531.727273,1295.545455,6.452585883989726,0,0,0,16.15800095,16.41825104,16.29574966,16.49150085,16.52924919,16.07424927,15.6779995,16.27799988,16.0529995,16.04800034,16.25724983,16.43849945,205.1506849,159686.8125,170394,183584.4688,193901.4063,508.2989111,542.3809475,584.3675137,617.2073457
RW201000000026,RWGE61FL,RW,2010,26,RW2010DHS,23586.77148,26952.51367,30398.26172,66.85825613,75.07902545,85.79251559,96.76067228,5380.37027,0,0.000711035,0.003111402,-9999,3074.222222,3042.666667,3121.222222,3289.222222,3081.444444,3379.888889,3329.111111,39.92183288,12.0,0.097181766,0.378359698,0.672959416,0.361678869,0.229856431,0.141290724,0.058941804,0.005649329,1652.840541,16464.14025,16357.63912,28793.82235,867.5,827.9,928.4,763.6,847.9,944.9,834.9,2.2071216480152027,1,0,0,20.56575012,20.86650085,20.23525047,20.63425064,20.48125076,20.16750145,19.95149994,20.80099869,20.33975029,20.20025063,20.67650032,20.94199944,185.3459459,20092.06055,33732.49219,57005.42969,93929.39063,63.95501507,107.3738575,181.4539184,298.9865364
RW201000000027,RWGE61FL,RW,2010,27,RW2010DHS,229193.4688,261900,295385.0313,649.6589886,729.5454697,833.6535919,940.2397569,10997.4504,0.025713537,0.037883131,0.119508936,-9999,3554.8,3539.1,3528.9,3550.9,3830.5,3762.1,3737.6,33.35120643,14.0,0.009125782,0.293935035,0.584194364,0.201714218,0.114682421,0.033257801,0.05702455,0.048311052,1379.563003,9824.999646,13786.02793,11886.97233,1237.1,1322,1276.4,998.6,958.3,1414.5,1245.8,5.345021756660523,0,1,1,16.59149933,16.97674942,16.54750061,16.83174896,16.80525017,16.65225029,16.25099945,16.79199982,16.50374985,16.41824913,16.76124954,16.9042511,207.7292225,242740.5,269784.0938,306145.3125,343589.4375,772.6670093,858.7494419,974.4907958,1093.679147
RW201000000028,RWGE61FL,RW,2010,28,RW2010DHS,190503.0313,217687.0938,245517.3125,539.9933747,606.3899821,692.9195405,781.505878,9187.523288,0.001801049,0.003734872,0.009394825,-9999,3460.2,3521.9,3612.4,3663.6,3908.1,3933.3,3885.6,40.36164384,13.0,0.06353342,0.353371406,0.646924202,0.213264366,0.108305424,0.049499373,0.051349372,0.00160283,1472.063014,24542.8313,17190.9463,17884.04002,1225.8,1388.2,1248.5,972.4,988.8,1482.7,1280.1,6.827841395547945,0,0,0,16.38124847,16.53675079,16.54899979,16.73374939,16.74774933,16.28100014,16.02799988,16.66349983,16.20274925,16.19050026,16.51474953,16.71875,171.1616438,177514.6875,183198.2031,189849.5313,191369.1563,565.0467997,583.1379918,604.309827,609.1469436
RW201000000029,RWGE61FL,RW,2010,29,RW2010DHS,183833.0625,210065.3438,236921.1875,13027.17279,14628.9703,16716.46892,18853.58906,6116.533333,0.604449272,0.638938506,0.697520574,-9999,2536,2544,2471,2509,2546,2513,2598,55.73333333,11,0.116020917,0.254722844,0.507291905,0.158662438,0.054898854,0.017567232,0.025740204,18.89880575,1611.866667,42276.28357,57870.86286,29874.6176,1029,1056,917,708,993,1097,870,4.4865473429361975,3,3,3,20.14999962,20.85899925,19.96100044,20.17700005,20.39800072,20.13599968,19.72400093,20.24200058,20.05900002,19.81399918,20.44099998,20.8010006,4.4,141837.0313,137562.9688,136524.4063,134337.2188,11287.03232,10946.91324,10864.26706,10690.21621
RW201000000030,RWGE61FL,RW,2010,30,RW2010DHS,85191.08594,97347.52344,109792.9375,241.4797274,271.1716487,309.8667911,349.4817744,5425.811321,0.000273806,0.001359758,0.004166083,-9999,3333.6,3392.6,3471.6,3545.1,3627,3672.2,3537.3,35.49326146,11.0,0.122095936,0.407540079,0.712315398,0.327555847,0.166878001,0.088459992,0.04022309,0.025060323,1623.485175,39359.67756,27252.18494,32217.17636,899.9166667,847.3333333,904.3333333,721.0833333,898.1666667,971.6666667,805.75,2.9041843465717654,0,0,0,20.22900009,20.90474892,19.95499992,20.28350067,20.33525085,20.26599884,19.79024887,20.33200073,20.16699982,19.88299942,20.4347496,20.80400085,198.2857143,62690.41406,81803.04688,109294.8281,145257.9063,199.5497856,260.3871854,347.8962429,462.3702762
