DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
NG201300000581,NGGE6AFL,NG,2013,581,NG2013DHS,14657.51367,16737.6875,19129.02344,1026.595777,1166.407877,1331.942851,1522.239318,13934.5625,0.000666411,0.000896627,0.007561787,4,3663,3688,3726,3608,3637,3640,3645,39,12,0,0.182307027,0.290293436,0.616402686,0.598349571,0.400487185,0.397357166,0.069328563,1569.5625,86247.84102,116667.1134,77010.01563,2515,2640,2653,2411,2282,2624,2000,0.0013687241589650512,0,0,0,27.39500046,24.72700119,26.33399963,27.24799919,26.33599854,24.65100098,25.65800095,27.63800049,26.56699944,26.34199905,25.54800034,25.09200096,47.9375,14050.62695,15962.62988,18209.88477,20766.58984,1118.113366,1270.265725,1449.096587,1652.552712
NG201300000582,NGGE6AFL,NG,2013,582,NG2013DHS,27202.96484,31063.57031,35501.66406,1905.265117,2164.743161,2471.960382,2825.132662,13872.5,0.029218365,0.037307709,0.067093432,4,3733,3734,3727,3467,3422,3471,3458,36.5625,12,0,0.181096454,0.280554828,0.609942317,0.590264201,0.385712653,0.375024796,0.277272586,1569.8125,91195.98202,120067.1831,72448.52498,2579,2601,2646,2436,2275,2650,2048,0.0,3,3,3,27.36699867,24.68300056,26.31099892,27.25200081,26.32799911,24.65100098,25.6570015,27.61199951,26.55999947,26.32600021,25.5529995,25.07500076,48.375,15086.49316,17139.46484,19552.39063,22297.55469,1200.54498,1363.915276,1555.929809,1774.383024
NG201300000583,NGGE6AFL,NG,2013,583,NG2013DHS,16365.50488,18688.07422,21358.06445,1146.221621,1302.325499,1487.149694,1699.620766,13629.06667,0.001745901,0.003197753,0.012365092,4,4004,3892,3806,3879,4094,4158,4193,29.73333333,11,0,0.187946787,0.286777965,0.615099192,0.589866579,0.364566386,0.406737059,0,1568.6,103502.5215,116919.4472,70801.72276,2311,2562,2928,2439,2250,2538,2087,0.0,1,1,2,27.45299911,24.85299873,26.42399979,27.3769989,26.41199875,24.76600075,25.71899986,27.75099945,26.61800003,26.41199875,25.63000107,25.16500092,110.6,11949.1875,13575.25586,15486.34863,17660.66016,950.8861283,1080.284537,1232.364467,1405.390681
NG201300000584,NGGE6AFL,NG,2013,584,NG2013DHS,295497.1875,337433.75,385643.375,827.8516981,940.5967612,1074.084986,1227.540988,13341.63043,0.007640165,0.009114846,0.020923023,4,3809.363636,3743.272727,3670,3742.363636,3856.454545,3875.909091,3877,35.8125,11.0,0,0.19053986,0.295713828,0.610556262,0.581891741,0.341521195,0.397590263,0.024822496,1579.630435,109868.9753,112445.6274,72075.91677,2349.25,2527.083333,2828.333333,2433.833333,2223.333333,2501.75,2058.166667,0.010724895026372827,0,0,1,27.53300095,24.88774872,26.46574974,27.42924881,26.44925117,24.83150101,25.76824951,27.83200073,26.67174911,26.47599983,25.68624878,25.22649956,85.30978261,303806.4375,345145.875,393732.5938,449009.9375,967.0459254,1098.633442,1253.289771,1429.243021
NG201300000585,NGGE6AFL,NG,2013,585,NG2013DHS,362526.5,413975.75,473121.0625,1015.637919,1153.95769,1317.725739,1505.991116,12725.06522,0.015910012,0.017267364,0.047487442,4,3512.333333,3505.777778,3554.888889,3598.666667,3811.555556,3779.777778,3781.111111,34.85869565,11.0,0,0.179995576,0.279241502,0.509320327,0.480223043,0.251643726,0.276743787,0.003330566,1589.55163,134309.5809,112935.2464,41427.22257,2353.9,2516.2,2948.3,2289.7,2118.3,2362.5,1924.5,0.7446849657141644,1,1,1,27.64799881,24.75749969,26.62199974,27.48349953,26.48149872,24.80649948,25.72550011,27.96749878,26.71199989,26.64699936,25.66250038,25.125,83.87228261,350168.25,394101.375,445420.2813,503300.5625,1114.620158,1254.463638,1417.81679,1602.055448
NG201300000586,NGGE6AFL,NG,2013,586,NG2013DHS,306543.4063,350047.625,400059.4375,858.7982824,975.7579677,1114.236197,1273.42874,12906.20708,0.004809165,0.0052482,0.013067882,4,3700,3688.2,3697.7,3721.7,3942,3910.9,3907.9,34.10899183,11.0,0,0.188448896,0.298019688,0.561443874,0.53367785,0.300025225,0.334188598,0.00376084,1588.888283,126543.9192,124580.4711,52652.26797,2404.444444,2595.222222,2968,2347,2156.444444,2385.222222,2018.222222,0.1669149788588854,0,0,0,27.62874985,24.81274986,26.56424904,27.48525047,26.44750023,24.8219986,25.71425056,27.95199966,26.67849922,26.60150146,25.63700104,25.17399979,102.7711172,337327.3125,383212.125,437140.5625,498494.3438,1073.746184,1219.802079,1391.461627,1586.756778
NG201300000587,NGGE6AFL,NG,2013,587,NG2013DHS,7389.197266,8437.862305,9643.390625,517.5311148,588.0136352,671.4637475,767.3966431,13900.625,0.007023523,0.008050259,0.011661229,4,3695,3702,3744,3953,4145,4218,4176,26,11,0,0.181542329,0.271433843,0.594611108,0.578327298,0.383754373,0.353979349,0.128060826,1570.875,94499.27881,131921.1292,60023.66134,2568,2807,2929,2492,2313,2713,2105,0.0,0,0,0,27.42300034,24.71299934,26.35499954,27.26600075,26.35199928,24.69499969,25.68099976,27.68200111,26.56500053,26.36699867,25.59500122,25.05800056,147.6875,9977.109375,11334.73438,12930.4873,14745.94336,793.9531374,901.9895026,1028.975485,1173.444888
NG201300000588,NGGE6AFL,NG,2013,588,NG2013DHS,10338.94727,11806.23535,13493.00781,724.1281803,822.7472822,939.5103576,1073.739445,13672.35714,0.010064886,0.014802529,0.080515706,4,3782,3736,3730,3825,3781,3824,3789,27.28571429,11,0,0.183522769,0.279568884,0.602944314,0.582951725,0.381536096,0.384516597,0.129190715,1571,103137.6596,128527.9613,59984.01959,2620,2599,3038,2445,2269,2613,2104,0.0,3,3,3,27.36800003,24.58800125,26.29800034,27.14999962,26.23999977,24.58600044,25.55900002,27.59600067,26.43099976,26.28800011,25.49099922,24.97599983,86,9448.195313,10733.86719,12245.01758,13964.22852,751.8634937,854.1740109,974.4275381,1111.237998
NG201300000589,NGGE6AFL,NG,2013,589,NG2013DHS,222141.125,253667.0938,289908.875,622.3406395,707.0971622,807.4474376,922.80861,13673.98907,0.02058477,0.023092359,0.029573567,4,3846.666667,3848.25,3853.416667,3741.583333,3880.333333,3897.666667,3842.166667,29.66939891,11.0,0,0.185275783,0.271155966,0.542593956,0.518540451,0.31817225,0.285200323,0.049953115,1584.256831,105502.7,135385.3232,38514.46042,2621.818182,2708,2995.454545,2441.727273,2314,2569.181818,2112.363636,0.13630818017844945,1,1,1,27.67533366,24.94066874,26.58733368,27.52999878,26.58066813,24.90533193,25.88166809,27.92566681,26.78566742,26.62966919,25.79499817,25.24333191,83.64754098,193846.0625,220224.4063,251228.2813,286501.1875,617.0311809,700.996057,799.6844563,911.9616038
NG201300000590,NGGE6AFL,NG,2013,590,NG2013DHS,463651.1875,529452,605095.5,1298.944461,1475.847567,1685.298059,1926.078797,13624.38544,0.01585251,0.019027375,0.05539707,4,3773.833333,3730.333333,3708.166667,3813.083333,3906.083333,3931.25,3928.666667,35.17520216,11.0,0,0.190533166,0.295760764,0.613942555,0.587795871,0.354061842,0.394055401,0.086033621,1571.738544,101032.1516,111824.1116,77015.18087,2345.9,2538.8,2764.9,2409.7,2201.2,2550.6,1997.1,0.00109070146917015,2,2,3,27.50166829,24.91399892,26.44666545,27.40100098,26.44700114,24.80533346,25.77766673,27.80000051,26.67199961,26.44766744,25.69166565,25.24400075,101.5752688,390203.5625,443301.9375,505710.6563,576712.875,1242.056516,1411.073893,1609.727014,1835.734096
NG201300000591,NGGE6AFL,NG,2013,591,NG2013DHS,363396.375,414969.0625,474256.25,1018.074979,1156.726588,1320.887551,1509.60453,13626.50402,0.009718184,0.011715787,0.048554814,4,3745.888889,3709.777778,3722.444444,3785.777778,3846.222222,3875.555556,3869.111111,34.18230563,11.0,0,0.189885961,0.298191885,0.618870667,0.592883519,0.356372356,0.408257995,0.144012916,1575.723861,98583.89253,103851.8291,86270.61151,2349.888889,2554.111111,2697.666667,2390.777778,2171.333333,2536.777778,1982.333333,0.005810382858358183,0,0,3,27.52975082,24.93200111,26.46974945,27.40074921,26.46549988,24.83524895,25.82099915,27.81024933,26.70774841,26.47425079,25.72000122,25.27025032,84.20643432,390471.25,441787.25,501940.5625,570117.875,1242.908591,1406.252493,1597.726433,1814.741559
NG201300000592,NGGE6AFL,NG,2013,592,NG2013DHS,71373.78125,81503.04688,93147.5,199.9575953,227.1898019,259.4322558,296.4977012,14576.90054,0.00924997,0.010403866,0.024184792,4,3974,3921.222222,3985.333333,3689.555556,3872,3846.888889,3815,28.59946237,12.0,0,0.2086428,0.30122032,0.468483035,0.384801038,0.24449145,0.192779112,0.055733549,1575.650538,78541.47604,157111.9066,28727.55912,2475.3,2786.4,3053.1,2533.8,2381.7,2768,2205.3,0.809826807426064,0,0,0,27.63324928,25.06450081,26.55875015,27.52775192,26.59025002,25.02425003,26.05424881,27.87849808,26.82449722,26.58275032,25.8722496,25.35300064,171.7211796,53062.36719,60357.09375,68939.04688,78715.57813,168.9027606,192.1225964,219.4398017,250.5594672
