DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
UG201100000562,UGGE61FL,UG,2011,562,UG2011DHS,18605.01563,21993.30664,25896.41797,50.17275652,59.22160408,70.00686933,82.43085857,5867.389189,0,0,1.29E-05,1,3097.555556,3100.888889,3177.222222,3233.666667,3528,3391.888889,3497.888889,22.22432432,10.0,0,0.494391385,0.890536201,0.632679939,0.586692946,0.521647419,0.22591533,0,1957.508108,20378.62664,43151.08805,119971.291,1229.9,1317,1202.3,1023.1,1053.7,1319.6,1249.1,0.3626103169209248,1,0,0,25.39733378,24.56033325,26.27466583,27.77833303,27.39266713,24.55599976,25.45566559,27.65533447,26.07766724,25.72699992,23.06966654,24.84766642,434.5243243,25440.58398,37227.6875,54275.02344,78382.5625,80.97989391,118.4994097,172.7627653,249.4994455
UG201100000563,UGGE61FL,UG,2011,563,UG2011DHS,17474.68945,20657.12891,24323.11328,1178.114314,1390.591602,1643.842088,1935.571855,7101.666667,0.009542164,0.01480802,0.024876092,1,4977,4846,4715,4955,5644,5457,5524,30.6,13,0,0.329950566,0.718635617,0.492142886,0.473881781,0.299841285,0.219833225,0.142060677,1760.4,12208.26041,4770.429115,59187.85849,1455,1253,1051,1303,1219,1449,1180,4.120969645182291,1,0,0,22.59399986,21.7159996,21.89800072,22.61800003,22.20300102,21.27799988,21.62599945,22.6420002,22.22999954,21.94499969,21.8560009,21.74399948,92.46666667,11340.97559,14533.04492,18554.375,23464.67773,902.4861623,1156.502969,1476.510249,1867.259724
UG201100000565,UGGE61FL,UG,2011,565,UG2011DHS,114592.3047,135461.5313,159501.6406,309.0248863,364.7586347,431.1874461,507.7094907,8704.203252,0.000620056,0.001665031,0.002791593,1,4830.333333,4830,4824,4735,5373.555556,5485.888889,5463.444444,26.53116531,13.0,0,0.335487187,0.727589362,0.484219331,0.458908044,0.285138937,0.211453731,0.008624851,1604.826558,13678.44882,2077.610779,59885.59111,1610.5,1386.9,1187.6,1401.5,1315.6,1596.8,1342.5,7.269457147696477,0,0,0,19.15550041,18.57500076,18.56925201,19.26000023,18.86875153,18.20849991,18.49349976,19.20299911,19.00174904,18.61375046,18.59350014,18.59074974,267.5528455,79282.5625,99059.64063,123759.0156,153647.4219,252.3642345,315.3166293,393.9371817,489.0749338
UG201100000567,UGGE61FL,UG,2011,567,UG2011DHS,17417.94531,20590.05078,24244.12891,46.97155067,55.44304189,65.5401672,77.17145914,5822.462406,1.24E-06,2.55E-05,0.000553375,1,1964.5,1932.666667,2064.333333,2115.666667,2205.833333,2254.5,2348.5,35.77692308,11.0,0,0.310320358,0.73974636,0.603433609,0.566337872,0.449244118,0.21885283,0.009134845,1775.868421,19525.52566,0,4222.894081,997,953,865.4285714,848.8571429,920.1428571,1051.142857,971.1428571,2.1063331087729087,0,0,0,25.03100077,23.70966593,24.6786677,25.80366516,25.4966685,23.69633484,24.29566701,25.66833242,24.76033274,24.47833252,23.19200134,23.94466654,282.037594,11841.19434,14953.73535,18813.91797,23447.01953,37.69169223,47.59921797,59.88656088,74.63418118
UG201100000570,UGGE61FL,UG,2011,570,UG2011DHS,12246.46484,14476.75586,17045.91992,33.02544335,38.98170829,46.0809451,54.2588483,5526.946237,0,0,0.00042796,1,2028.5,1969.5,2150.25,2198.25,2189.75,2222.25,2356.5,36.32044199,11.0,0,0.311460727,0.74139522,0.599766552,0.562229216,0.434439719,0.207583755,0.005085595,1785.27957,16052.063,3025.839821,0,960.4,923.4,839,813.2,888.8,1009.4,943.6,2.256337864513703,0,0,0,25.03099823,23.70966593,24.6786677,25.80366516,25.4966685,23.69633484,24.29566701,25.66833242,24.76033274,24.47833252,23.19200134,23.94466654,300.7593583,8578.707031,10834.62891,13632.72461,16991.38672,27.30687259,34.48769495,43.39431019,54.08526373
UG201100000571,UGGE61FL,UG,2011,571,UG2011DHS,33717.69531,39858.26172,46931.83594,90.92762497,107.3267576,126.8727875,149.3886736,7256.13,2.95E-06,0.000138596,0.000189718,1,2865.875,2871.125,2915.75,2909.125,3033.625,3159,3175.5,32.61666667,11.0,0,0.339423643,0.767812393,0.640804724,0.605493632,0.529098814,0.257035537,0.000353665,1729.603333,28029.56537,26124.3271,4496.715843,1206.375,1118.25,1026.375,1027.625,1099.625,1237,1205.875,1.7751649983723958,1,0,0,23.29600143,21.96949959,22.98450089,24.45449829,23.90299988,21.9754982,22.5094986,24.25500107,22.92549896,22.90999985,22.30049896,22.17150116,273.02,28583.17578,36099.10938,45422.06641,56612.5,90.98307429,114.907034,144.5829279,180.2031843
UG201100000575,UGGE61FL,UG,2011,575,UG2011DHS,13277.50391,15695.56445,18481.0293,35.80588332,42.26360758,49.96053334,58.82694333,7376.484932,0,0,3.92E-06,1,4712.9,4745.4,4801.2,4573.8,4964.9,4823.4,4796.4,30.39344262,11.0,0,0.329488369,0.754587995,0.620804378,0.584852627,0.536110537,0.297281742,0,1700.813699,46055.36933,23215.58964,25289.01775,1433.111111,1238.555556,1135.444444,1123.333333,1139,1381.555556,1235.222222,1.4038871869648972,1,0,0,22.85099983,21.67000008,22.4972496,23.68600082,23.2784996,21.6202507,22.10950089,23.60849953,22.5332489,22.47950172,22.0577507,21.85700035,189.0438356,15839.21387,20053.05078,25294.49609,31606.91406,50.41778364,63.83084311,80.51488171,100.6079322
UG201100000576,UGGE61FL,UG,2011,576,UG2011DHS,34919.64844,41279.10938,48604.84375,94.16896457,111.1526932,131.3954861,154.7140228,7734.430518,0,1.30E-05,4.18E-05,1,4204,4257.75,4331.583333,4414.916667,4765.75,4630.833333,4637.083333,27.13623978,12.0,0,0.348943947,0.778276201,0.651099141,0.615779241,0.557717514,0.29611063,0.001815667,1720.970027,48980.22651,26528.78469,30046.95171,1449.555556,1304.111111,1206.555556,1169,1247.444444,1428,1334.111111,0.9614542199740292,1,0,0,23.16399892,21.89266713,22.92366536,24.20066833,23.77999878,21.82033285,22.40100098,24.10233307,22.80766551,22.84433238,22.28200022,22.04799906,278.9318801,27809.74805,35086.86328,44104.56641,54916.11719,88.52117737,111.6849546,140.3891951,174.8034301
UG201100000577,UGGE61FL,UG,2011,577,UG2011DHS,3657.165039,4323.197266,5090.427246,246.5599352,291.0279468,344.0291074,405.0833293,9109.375,0,0,0,1,5381,5460,5456,5215,5434,5330,5237,21.4375,13,0,0.355630836,0.749920654,0.549665809,0.52543956,0.34584856,0.249165013,0,1597.6875,33255.06674,6930.934395,54093.90332,1532,1400,1179,1370,1294,1475,1319,0.7135542631149292,1,0,0,20.40399933,19.69799995,19.68600082,20.55800056,20.04700089,19.33200073,19.58600044,20.50799942,20.11700058,19.74200058,19.64699936,19.66900063,115.375,4575.354004,4933.291992,5299.354492,5638.847656,364.0951031,392.5789031,421.7092313,448.7252389
UG201100000578,UGGE61FL,UG,2011,578,UG2011DHS,109228.5156,129120.9063,152035.75,294.560139,347.6851637,411.0046099,483.9448228,9032.311653,0.000516345,0.000806749,0.00109255,1,4861.25,4932.5,4990.416667,4984.666667,5308.583333,5132,5190.75,29.30894309,13.0,0,0.343909084,0.730005776,0.519330851,0.496004677,0.31524531,0.231796074,0.01044908,1595.775068,31438.714,8191.339035,51844.06911,1503.454545,1401.636364,1198.545455,1347.727273,1261.727273,1491.454545,1330.909091,0.9732404672679539,1,0,0,20.2543335,19.50333405,19.54800034,20.38300069,19.85533396,19.13366699,19.40299988,20.35066605,19.96500015,19.58566666,19.46866608,19.4963328,78.47425474,87188.10938,94043.76563,101061.0547,107576,277.5283717,299.3506033,321.6873282,342.4250432
