"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-10.269614 34.086991 0 1 300 "      300 17" 828910 -36927
-10.269614 34.086991 0 1 300 "      300 34" 828910 -9246
-10.269614 34.086991 0 1 300 "      300 19" 828910 173351
-10.269614 34.086991 0 1 300 "      300 27" 828910 5519
-10.274304 33.557759 0 1 769 "      769 17" 199299 -19664
-10.274304 33.557759 0 1 769 "      769 12" 199299 -74581
-10.274304 33.557759 0 1 769 "      769 13" 199299 -80105
-10.274304 33.557759 0 1 769 "      769 14" 199299 -66490
-10.274304 33.557759 0 1 769 "      769 15" 199299 16595
-10.274304 33.557759 0 1 769 "      769 16" 199299 -39527
-10.274304 33.557759 0 1 769 "      769  1" 199299 -64402
-10.274304 33.557759 0 1 769 "      769  2" 199299 -14295
-10.274304 33.557759 0 1 769 "      769  3" 199299 -49978
-10.274304 33.557759 0 1 769 "      769  4" 199299 -76129
-10.274304 33.557759 0 1 769 "      769  6" 199299 78660
-10.274304 33.557759 0 1 769 "      769  8" 199299 -70270
-10.274304 33.557759 0 1 769 "      769  9" 199299 -66399
-10.274304 33.557759 0 1 769 "      769 10" 199299 -87417
-10.274304 33.557759 0 1 769 "      769 11" 199299 -72273
-10.274304 33.557759 0 1 769 "      769 26" 199299 -50044
-10.274304 33.557759 0 1 769 "      769 27" 199299 -70285
-10.274304 33.557759 0 1 769 "      769 28" 199299 -90488
-10.274304 33.557759 0 1 769 "      769 29" 199299 62003
-10.274304 33.557759 0 1 769 "      769 30" 199299 -81021
-10.274304 33.557759 0 1 769 "      769 31" 199299 5361
-10.274304 33.557759 0 1 769 "      769 32" 199299 -55459
-10.274304 33.557759 0 1 769 "      769 19" 199299 -25967
-10.274304 33.557759 0 1 769 "      769 20" 199299 -57395
-10.274304 33.557759 0 1 769 "      769 21" 199299 -76273
-10.274304 33.557759 0 1 769 "      769 23" 199299 -71918
-10.274304 33.557759 0 1 769 "      769 24" 199299 26322
-10.274304 33.557759 0 1 769 "      769 25" 199299 -36517
-10.274304 33.557759 0 1 769 "      769 34" 199299 -32271
-10.274304 33.557759 0 1 769 "      769 35" 199299 89446
-10.274304 33.557759 0 1 769 "      769 36" 199299 -6078
-10.274304 33.557759 0 1 769 "      769 33" 199299 -46287
-10.274304 33.557759 0 1 769 "      769 37" 199299 23258
-10.295416 34.123649 0 1 831 "      831  1" 480515 -101055
-10.295416 34.123649 0 1 831 "      831  2" 480515 -58217
-10.295416 34.123649 0 1 831 "      831  3" 480515 -41349
-10.295416 34.123649 0 1 831 "      831  4" 480515 -26856
-10.295416 34.123649 0 1 831 "      831  5" 480515 -36132
-10.295416 34.123649 0 1 831 "      831  6" 480515 -93481
-10.295416 34.123649 0 1 831 "      831  7" 480515 114531
-10.295416 34.123649 0 1 831 "      831  8" 480515 -21229
-10.295416 34.123649 0 1 831 "      831  9" 480515 -60460
-10.295416 34.123649 0 1 831 "      831 10" 480515 -59783
-10.295416 34.123649 0 1 831 "      831 11" 480515 -75112
-10.295416 34.123649 0 1 831 "      831 12" 480515 -92937
-10.295416 34.123649 0 1 831 "      831 13" 480515 -30659
-10.295416 34.123649 0 1 831 "      831 14" 480515 -66719
-10.295416 34.123649 0 1 831 "      831 15" 480515 -55766
-10.295416 34.123649 0 1 831 "      831 16" 480515 -61363
-10.295416 34.123649 0 1 831 "      831 17" 480515 91108
-10.295416 34.123649 0 1 831 "      831 18" 480515 62076
-10.295416 34.123649 0 1 831 "      831 19" 480515 -43977
-10.295416 34.123649 0 1 831 "      831 21" 480515 -42495
-10.295416 34.123649 0 1 831 "      831 22" 480515 -1095
-10.295416 34.123649 0 1 831 "      831 24" 480515 74547
-10.295416 34.123649 0 1 831 "      831 25" 480515 -65965
-10.295416 34.123649 0 1 831 "      831 26" 480515 -21219
-10.295416 34.123649 0 1 831 "      831 27" 480515 -44749
-10.295416 34.123649 0 1 831 "      831 28" 480515 -37799
-10.295416 34.123649 0 1 831 "      831 29" 480515 22215
-10.295416 34.123649 0 1 831 "      831 30" 480515 -73426
-10.295416 34.123649 0 1 831 "      831 32" 480515 -25977
-10.295416 34.123649 0 1 831 "      831 33" 480515 -78217
-10.295416 34.123649 0 1 831 "      831 34" 480515 1236
-10.295416 34.123649 0 1 831 "      831 35" 480515 -15784
-10.295416 34.123649 0 1 831 "      831 36" 480515 24236
-10.295416 34.123649 0 1 831 "      831 37" 480515 -51429
-10.331965 33.573191 0 1 744 "      744 30" 275880 -52395
-10.331965 33.573191 0 1 744 "      744 34" 275880 -63822
-10.331965 33.573191 0 1 744 "      744 31" 275880 107682
-10.331965 33.573191 0 1 744 "      744 33" 275880 -42756
-10.331965 33.573191 0 1 744 "      744 10" 275880 34133
-10.331965 33.573191 0 1 744 "      744 36" 275880 -52569
-10.331965 33.573191 0 1 744 "      744 32" 275880 -29802
-10.331965 33.573191 0 1 744 "      744 13" 275880 -23830
-10.331965 33.573191 0 1 744 "      744 15" 275880 35563
-10.331965 33.573191 0 1 744 "      744 11" 275880 -67453
-10.331965 33.573191 0 1 744 "      744 12" 275880 -81962
-10.331965 33.573191 0 1 744 "      744  3" 275880 -18066
-10.331965 33.573191 0 1 744 "      744  4" 275880 49306
-10.331965 33.573191 0 1 744 "      744  1" 275880 -41041
-10.331965 33.573191 0 1 744 "      744  2" 275880 -63491
-10.331965 33.573191 0 1 744 "      744  7" 275880 -4847
-10.331965 33.573191 0 1 744 "      744  8" 275880 -18558
-10.331965 33.573191 0 1 744 "      744 28" 275880 59481
-10.331965 33.573191 0 1 744 "      744 29" 275880 16972
-10.331965 33.573191 0 1 744 "      744 16" 275880 -47699
-10.331965 33.573191 0 1 744 "      744 19" 275880 -49391
-10.331965 33.573191 0 1 744 "      744 20" 275880 206694
-10.331965 33.573191 0 1 744 "      744 37" 275880 -43000
-10.331965 33.573191 0 1 744 "      744 22" 275880 -62769
-10.331965 33.573191 0 1 744 "      744  5" 275880 -43493
-10.331965 33.573191 0 1 744 "      744  6" 275880 3857
-10.331965 33.573191 0 1 744 "      744 25" 275880 4843
-10.331965 33.573191 0 1 744 "      744 26" 275880 -15933
-10.331965 33.573191 0 1 744 "      744 23" 275880 32236
-10.331965 33.573191 0 1 744 "      744 24" 275880 -72056
-10.331965 33.573191 0 1 744 "      744 21" 275880 -39602
-10.419464 33.669728 0 1 377 "      377 25" 240136 9020
-10.419464 33.669728 0 1 377 "      377 30" 240136 -79717
-10.419464 33.669728 0 1 377 "      377 31" 240136 31330
-10.419464 33.669728 0 1 377 "      377 13" 240136 17132
-10.419464 33.669728 0 1 377 "      377 29" 240136 -61088
-10.419464 33.669728 0 1 377 "      377 11" 240136 -61680
-10.419464 33.669728 0 1 377 "      377 12" 240136 -26111
-10.419464 33.669728 0 1 377 "      377 35" 240136 -43808
-10.419464 33.669728 0 1 377 "      377 32" 240136 -20503
-10.419464 33.669728 0 1 377 "      377 33" 240136 -80046
-10.419464 33.669728 0 1 377 "      377 34" 240136 -9444
-10.419464 33.669728 0 1 377 "      377  5" 240136 -45662
-10.419464 33.669728 0 1 377 "      377 36" 240136 75788
-10.419464 33.669728 0 1 377 "      377 28" 240136 -60789
-10.419464 33.669728 0 1 377 "      377 37" 240136 -61504
-10.419464 33.669728 0 1 377 "      377  9" 240136 -70352
-10.419464 33.669728 0 1 377 "      377 27" 240136 -83135
-10.419464 33.669728 0 1 377 "      377 17" 240136 -54183
-10.419464 33.669728 0 1 377 "      377 24" 240136 -69607
-10.419464 33.669728 0 1 377 "      377 14" 240136 -78480
-10.419464 33.669728 0 1 377 "      377 16" 240136 -73666
-10.419464 33.669728 0 1 377 "      377 20" 240136 -10970
-10.419464 33.669728 0 1 377 "      377 23" 240136 -49828
-10.419464 33.669728 0 1 377 "      377  4" 240136 53135
-10.419464 33.669728 0 1 377 "      377 19" 240136 -43698
-10.419464 33.669728 0 1 377 "      377 15" 240136 -69987
-10.419464 33.669728 0 1 377 "      377  3" 240136 -77126
-10.419464 33.669728 0 1 377 "      377  8" 240136 -64154
-10.419464 33.669728 0 1 377 "      377 18" 240136 -76924
-10.419464 33.669728 0 1 377 "      377  2" 240136 120878
-10.419464 33.669728 0 1 377 "      377 21" 240136 -81193
-10.419464 33.669728 0 1 377 "      377  7" 240136 -75395
-10.419464 33.669728 0 1 377 "      377  1" 240136 -67511
-10.419464 33.669728 0 1 377 "      377  6" 240136 -69788
-10.420592 34.179634 1.045 1 557 "      557 19" 531481 -72962
-10.420592 34.179634 1.045 1 557 "      557 17" 531481 -27726
