"lat" "lon" "wealthscore" "nl" "n" "sample"
-2.206809 29.819907 -48500.1923076923 0.277777777777778 26 1
-2.203129 30.51851 14183.64 0.46969696969697 25 1
-2.202149 30.139568 -2745.11538461538 0 26 1
-2.198356 29.948676 -32952.9166666667 0 24 1
-2.198063 30.500769 -40506.4615384615 0.444976076555024 26 1
-2.196906 29.705179 -22505.9230769231 0.217171717171717 26 1
-2.193395 30.012104 -23299.0769230769 0.0606060606060606 26 1
-2.191645 29.290962 -21803.5416666667 0 24 1
-2.19057 29.944765 -27832.32 0 25 1
-2.189393 29.376622 -41976 0 25 1
-2.188292 29.774608 -77098.3846153846 0.0947368421052632 26 1
-2.187308 29.392258 -36126.52 0 25 1
-2.183866 30.180127 -14001.6923076923 0 26 1
-2.180477 29.423007 -21073.28 0 25 1
-2.179344 30.620858 -14177.4615384615 0.172222222222222 26 1
-2.171266 30.018541 -41692.36 0.315789473684211 25 1
-2.16145 29.254779 -41527.875 0 24 1
-2.159884 30.033763 -37484 0.344497607655502 26 1
-2.159511 29.641706 -27699.04 0 25 1
-2.156734 29.58157 -40423.6153846154 0 26 1
-2.154319 29.592663 -24348.76 0 25 1
-2.149959 30.850353 -44703.6923076923 0 26 1
-2.144317 30.348895 -38764.6923076923 0 26 1
-2.142409 30.096497 -18327.8846153846 0.327272727272727 26 1
-2.139863 29.690493 -36519.2692307692 0.318181818181818 26 1
-2.138187 30.441904 -25417.3076923077 0.385714285714286 26 1
-2.136239 30.664806 -43987.6153846154 0 26 1
-2.134998 30.477437 -31725.5769230769 1.15 26 1
-2.1345 30.32137 -32905.1923076923 0 26 1
-2.130811 29.677116 -41081.3461538462 0.490909090909091 26 1
-2.129858 30.23213 -31677.2692307692 0 26 1
-2.1252 29.467963 -31883.6538461538 0 26 1
-2.124417 30.304729 -33292.88 0 25 1
-2.119264 30.591072 13290.1153846154 0.87012987012987 26 1
-2.11641 29.534499 -22439.0769230769 0 26 1
-2.116178 29.813837 -36896.3076923077 0.974025974025974 26 1
-2.116101 30.450414 -41444.1153846154 0.432900432900433 26 1
-2.113522 29.758143 -84599 1.12121212121212 25 1
-2.107306 29.974036 -15530 0 23 1
-2.106086 29.896746 -26704.12 0 25 1
-2.104501 29.436317 -42710.5384615385 0.0285714285714286 26 1
-2.099755 30.481972 -31978.72 0.489177489177489 25 1
-2.09954 30.622315 -18299 0.413223140495868 25 1
-2.09527 30.738608 17879.0384615385 0 26 1
-2.089516 29.390751 -26302.12 0.207792207792208 25 1
-2.084839 29.405355 -26522.04 0.198347107438017 25 1
-2.083065 29.756049 121657 1.47520661157025 23 1
-2.08 29.690313 -32051.5769230769 1.62272727272727 26 1
-2.075995 29.439541 -26203.8461538462 0.0247933884297521 26 1
-2.075481 29.740522 113636.666666667 1.41106719367589 24 1
-2.075093 29.587154 -45458.76 0 25 1
-2.072847 30.824889 -53824.7307692308 0 26 1
-2.066574 30.510362 2730.66666666667 0.0474308300395257 24 1
-2.05891 30.375953 1929.2 0 25 1
-2.057712 29.909006 -30074.88 0 25 1
-2.057154 30.045359 -20077.4 0.99604743083004 25 1
-2.054273 29.762236 -87957 1.19583333333333 26 1
-2.052887 29.426793 -37089.32 0.16600790513834 25 1
-2.042049 29.812083 -21678.6923076923 0.863636363636364 26 1
-2.040137 30.029044 -4969.65384615385 2.22727272727273 26 1
-2.038559 30.365968 -21918.3846153846 0 26 1
-2.038221 30.310015 56751 0.075 25 1
-2.036917 30.114591 -5027.23076923077 3.12083333333333 26 1
-2.036767 29.975852 -38972.48 1.30416666666667 25 1
-2.036321 30.567216 -10195.4 0 25 1
-2.035534 29.419156 -52237.2916666667 0.181818181818182 24 1
-2.029782 30.246107 3231.96 0.970833333333333 25 1
-2.026905 29.801989 -40408.0384615385 0.371212121212121 26 1
-2.021185 29.713286 -42727.8 0.183333333333333 25 1
-2.021018 30.651838 -22379.3076923077 0 26 1
-2.019624 29.694921 -22797.04 0.16 25 1
-2.015934 29.914014 -32414.9230769231 0.683636363636364 26 1
-2.006624 30.179611 22599.8 7.88111888111888 25 1
-2.005244 29.770131 -20769.2 0 25 1
-2.003313 30.043979 99093.2307692308 11.5461538461538 26 1
-1.999938 29.886086 -34550.24 0.405594405594406 25 1
-1.99905 30.545979 82060.75 0.041958041958042 24 1
-1.997883 29.631617 -47216.12 0 25 1
-1.995445 29.41455 -30088.8076923077 0 26 1
-1.995232 30.200461 99766.0833333333 8.36296296296296 24 1
-1.993914 30.064323 229438.730769231 17.2412587412587 26 1
-1.993737 30.511028 -27839 0.356643356643357 26 1
-1.993029 29.976325 13836.6666666667 9.55244755244755 24 1
-1.992365 30.31009 -3778.07692307692 0.909090909090909 26 1
-1.992058 30.324192 4106.88461538462 0.824915824915825 26 1
-1.990186 30.098831 236797.692307692 17.3973063973064 26 1
-1.986546 30.144486 101944.423076923 18.8316498316498 26 1
-1.984379 30.114562 316641.615384615 20.1346801346801 26 1
-1.984298 30.124576 336311.363636364 19.9427609427609 22 1
-1.983305 30.027391 401678.038461538 17.5791245791246 26 1
-1.981685 30.091802 188429.538461538 20.1515151515152 26 1
-1.980913 30.183944 105541 12.9393939393939 26 1
-1.979686 30.140415 237172.346153846 20.4111111111111 26 1
-1.978592 30.061431 222058.230769231 21 26 1
-1.97753 29.570432 -52762.28 0 25 1
-1.977357 30.058601 279532.153846154 21.7205387205387 26 1
-1.977328 30.072169 178672.692307692 22.2996632996633 26 1
-1.976122 30.094821 244134.884615385 21.8474025974026 26 1
-1.975932 30.041413 259967.115384615 20.952861952862 26 1
-1.975464 30.088097 189714.230769231 21.8214285714286 26 1
-1.975029 29.927419 -14971.4615384615 3.67003367003367 26 1
-1.974834 30.111135 251227.96 21.8019480519481 25 1
-1.974412 30.089289 168028.538461538 21.8214285714286 26 1
-1.974003 30.041225 229116.04 20.952861952862 25 1
-1.972804 29.644635 -47305.5 0 26 1
-1.970528 30.056039 254739.28 22.6035714285714 25 1
-1.970013 30.037682 165345.913043478 21.7892857142857 23 1
-1.968977 30.063375 133839.769230769 23.0551948051948 26 1
-1.96783 30.441541 45167.5384615385 0.740740740740741 26 1
-1.967409 29.404675 -28432.375 0 24 1
-1.965807 30.221206 118229.076923077 8.26298701298701 26 1
-1.964067 30.60644 -482.192307692308 0 26 1
-1.963772 30.032885 43343.76 21.1849529780564 25 1
-1.963233 29.331311 -41320.4 0 25 1
-1.962997 30.118024 249646.076923077 24.9071428571429 26 1
-1.962138 30.037816 189509.807692308 23.5607142857143 26 1
-1.961753 30.148305 223722.346153846 23.1678571428571 26 1
-1.958832 30.527585 -11762.8846153846 0.548701298701299 26 1
-1.957099 30.056542 225304.153846154 23.3636363636364 26 1
-1.956508 30.047549 167669.6 23.0689655172414 25 1
-1.95637 30.104393 238072.76 24.5779220779221 25 1
-1.956045 30.287383 -18484.9230769231 1.66558441558442 26 1
-1.955189 30.011056 85041.12 20.3040752351097 25 1
-1.954886 30.366392 11177.6538461538 0.758620689655172 26 1
-1.954061 30.077749 209718.608695652 25.2379310344828 23 1
-1.95365 30.139626 280225 23.8620689655172 26 1
-1.951477 30.05303 229831.653846154 23.5454545454545 26 1
-1.951422 30.266767 12931.6153846154 2.66457680250784 26 1
-1.95007 30.141162 2911.375 22.8181818181818 24 1
-1.949707 30.111272 312536.541666667 24.1692789968652 24 1
-1.949591 30.440808 190327 0.746081504702194 25 1
-1.948766 29.797733 -20445.92 0 25 1
-1.948529 30.375445 -23967.2692307692 0.727272727272727 26 1
-1.946122 30.423228 17772.04 0.820689655172414 25 1
-1.945 30.048865 209342.730769231 24.6448275862069 26 1
-1.944706 30.063279 253418.692307692 22.9666666666667 26 1
-1.944695 30.027642 224841.708333333 21.8242424242424 24 1
-1.941357 30.117212 211719.12 23.5391849529781 25 1
-1.941192 29.879028 -16304.0384615385 1.19393939393939 26 1
-1.940534 30.055079 147476.12 22.7848484848485 25 1
-1.940151 30.144472 339047.153846154 21.6272727272727 26 1
-1.940063 30.091425 281175.038461538 23.9968652037618 26 1
-1.937687 30.047714 245583.269230769 23.0433333333333 26 1
-1.936839 30.035471 222047.208333333 22.73 24 1
-1.935941 30.687219 -39919.5769230769 0 26 1
-1.932437 30.485088 -45929.56 0.768328445747801 25 1
-1.929019 29.892945 -18182.6666666667 2 24 1
-1.928739 29.743956 -29730.28 0 25 1
-1.928112 29.606201 -36742.1538461538 0 26 1
-1.927927 30.175814 9659.88461538462 15.3343108504399 26 1
-1.927856 29.604681 -47568.2083333333 0 24 1
-1.922246 29.821522 -23566.4615384615 0 26 1
-1.921521 30.0644 256639.260869565 18.9193548387097 23 1
-1.920579 29.37916 -14363.96 0 25 1
-1.920349 30.074494 267001.72 18.9645161290323 25 1
-1.920057 29.453208 -43821.84 0 25 1
