"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-1.326066 31.73037 1.98553719008264 1 321 "321 64" 1460755 70000
-1.326066 31.73037 1.98553719008264 1 321 "321 74" 1460755 -16000
-1.326066 31.73037 1.98553719008264 1 321 "321156" 1460755 141000
-1.326066 31.73037 1.98553719008264 1 321 "321 34" 1460755 -47000
-1.326066 31.73037 1.98553719008264 1 321 "321176" 1460755 -38000
-1.326066 31.73037 1.98553719008264 1 321 "321146" 1460755 91000
-1.326066 31.73037 1.98553719008264 1 321 "321196" 1460755 -9000
-1.326066 31.73037 1.98553719008264 1 321 "321207" 1460755 -10000
-1.326066 31.73037 1.98553719008264 1 321 "321105" 1460755 -53000
-1.326066 31.73037 1.98553719008264 1 321 "321186" 1460755 55000
-1.326066 31.73037 1.98553719008264 1 321 "321 13" 1460755 -24000
-1.326066 31.73037 1.98553719008264 1 321 "321 23" 1460755 -88000
-1.326066 31.73037 1.98553719008264 1 321 "321  3" 1460755 7000
-1.326066 31.73037 1.98553719008264 1 321 "321 44" 1460755 139000
-1.326066 31.73037 1.98553719008264 1 321 "321 54" 1460755 112000
-1.326066 31.73037 1.98553719008264 1 321 "321135" 1460755 -39000
-1.326066 31.73037 1.98553719008264 1 321 "321217" 1460755 -59000
-1.326066 31.73037 1.98553719008264 1 321 "321 84" 1460755 -62000
-1.326066 31.73037 1.98553719008264 1 321 "321115" 1460755 -64000
-1.369792 34.660076 0.272727272727273 1 354 "354 45" 562405 25000
-1.369792 34.660076 0.272727272727273 1 354 "354  6" 562405 -80000
-1.369792 34.660076 0.272727272727273 1 354 "354 11" 562405 -67000
-1.369792 34.660076 0.272727272727273 1 354 "354 62" 562405 -86000
-1.369792 34.660076 0.272727272727273 1 354 "354 67" 562405 -68000
-1.369792 34.660076 0.272727272727273 1 354 "354 41" 562405 40000
-1.369792 34.660076 0.272727272727273 1 354 "354 80" 562405 63000
-1.369792 34.660076 0.272727272727273 1 354 "354 58" 562405 -10000
-1.369792 34.660076 0.272727272727273 1 354 "354  2" 562405 -2000
-1.369792 34.660076 0.272727272727273 1 354 "354 75" 562405 -21000
-1.369792 34.660076 0.272727272727273 1 354 "354 15" 562405 -58000
-1.369792 34.660076 0.272727272727273 1 354 "354 50" 562405 -101000
-1.369792 34.660076 0.272727272727273 1 354 "354 37" 562405 -76000
-1.369792 34.660076 0.272727272727273 1 354 "354 93" 562405 -45000
-1.369792 34.660076 0.272727272727273 1 354 "354 88" 562405 -2000
-1.369792 34.660076 0.272727272727273 1 354 "354 19" 562405 -85000
-1.369792 34.660076 0.272727272727273 1 354 "354 54" 562405 -25000
-1.369792 34.660076 0.272727272727273 1 354 "354 32" 562405 -76000
-1.369792 34.660076 0.272727272727273 1 354 "354 28" 562405 -15000
-1.369792 34.660076 0.272727272727273 1 354 "354 84" 562405 -25000
-1.369792 34.660076 0.272727272727273 1 354 "354 71" 562405 -65000
-1.369792 34.660076 0.272727272727273 1 354 "354 24" 562405 -68000
-1.371665 34.134735 0.205454545454545 1 356 "356104" 881549 -36000
-1.371665 34.134735 0.205454545454545 1 356 "356113" 881549 -91000
-1.371665 34.134735 0.205454545454545 1 356 "356 13" 881549 -73000
-1.371665 34.134735 0.205454545454545 1 356 "356 22" 881549 -72000
-1.371665 34.134735 0.205454545454545 1 356 "356137" 881549 12000
-1.371665 34.134735 0.205454545454545 1 356 "356146" 881549 -8000
-1.371665 34.134735 0.205454545454545 1 356 "356 96" 881549 -93000
-1.371665 34.134735 0.205454545454545 1 356 "356162" 881549 -57000
-1.371665 34.134735 0.205454545454545 1 356 "356129" 881549 5000
-1.371665 34.134735 0.205454545454545 1 356 "356  5" 881549 -81000
-1.371665 34.134735 0.205454545454545 1 356 "356154" 881549 -66000
-1.371665 34.134735 0.205454545454545 1 356 "356 30" 881549 -59000
-1.371665 34.134735 0.205454545454545 1 356 "356 38" 881549 -40000
-1.371665 34.134735 0.205454545454545 1 356 "356170" 881549 -58000
-1.371665 34.134735 0.205454545454545 1 356 "356 79" 881549 -96000
-1.371665 34.134735 0.205454545454545 1 356 "356 63" 881549 21000
-1.371665 34.134735 0.205454545454545 1 356 "356121" 881549 -55000
-1.371665 34.134735 0.205454545454545 1 356 "356 71" 881549 -32000
-1.371665 34.134735 0.205454545454545 1 356 "356 55" 881549 -60000
-1.371665 34.134735 0.205454545454545 1 356 "356 46" 881549 -59000
-1.400853 34.55624 1.10653409090909 1 355 "355  8" 322616 -89000
-1.400853 34.55624 1.10653409090909 1 355 "355 16" 322616 -89000
-1.400853 34.55624 1.10653409090909 1 355 "355 36" 322616 -104000
-1.400853 34.55624 1.10653409090909 1 355 "355 10" 322616 -96000
-1.400853 34.55624 1.10653409090909 1 355 "355 12" 322616 -93000
-1.400853 34.55624 1.10653409090909 1 355 "355 34" 322616 -37000
-1.400853 34.55624 1.10653409090909 1 355 "355 30" 322616 95000
-1.400853 34.55624 1.10653409090909 1 355 "355 38" 322616 -6000
-1.400853 34.55624 1.10653409090909 1 355 "355  4" 322616 10000
-1.400853 34.55624 1.10653409090909 1 355 "355 28" 322616 -37000
-1.400853 34.55624 1.10653409090909 1 355 "355 22" 322616 -50000
-1.400853 34.55624 1.10653409090909 1 355 "355 18" 322616 -33000
-1.400853 34.55624 1.10653409090909 1 355 "355 42" 322616 -72000
-1.400853 34.55624 1.10653409090909 1 355 "355 20" 322616 -79000
-1.400853 34.55624 1.10653409090909 1 355 "355 26" 322616 64000
-1.400853 34.55624 1.10653409090909 1 355 "355  2" 322616 -19000
-1.400853 34.55624 1.10653409090909 1 355 "355 24" 322616 -79000
-1.412562 30.871132 0 1 316 "316149" 1449162 -75000
-1.412562 30.871132 0 1 316 "316 42" 1449162 14000
-1.412562 30.871132 0 1 316 "316 31" 1449162 -68000
-1.412562 30.871132 0 1 316 "316196" 1449162 -45000
-1.412562 30.871132 0 1 316 "316102" 1449162 -56000
