"lat" "lon" "wealthscore" "nl" "n" "sample"
-4.562516 35.756384 -39400 0 20 1
-4.550194 38.334579 -51772.7272727273 0 22 1
-4.511993 30.06401 -43368.4210526316 0.0351851851851852 19 1
-4.510585 35.292033 -74928.5714285714 0.25557461406518 14 1
-4.505559 35.391624 198000 0.25557461406518 19 1
-4.504887 35.093927 -72666.6666666667 0 18 1
-4.504597 30.121334 -46700 0 20 1
-4.502864 35.518574 -67380.9523809524 0.26048951048951 21 1
-4.500323 34.844744 -58954.5454545455 0 22 1
-4.482985 34.616563 -67272.7272727273 0 22 1
-4.470631 30.061856 -58947.3684210526 0 19 1
-4.458755 34.12614 -86952.3809523809 0 21 1
-4.413141 33.986531 -85666.6666666667 0 21 1
-4.39922 29.810853 -56318.1818181818 0 22 1
-4.388801 33.447999 -58500 0 22 1
-4.378037 35.712354 54800 0 20 1
-4.35663 30.181232 -53500 0 20 1
-4.306444 34.780494 -55863.6363636364 0 22 1
-4.30584 37.881452 8272.72727272727 0.161616161616162 22 1
-4.269121 35.574416 -69736.8421052632 0.0181818181818182 19 1
-4.255792 37.861765 -38047.619047619 0 21 1
-4.241342 35.231787 -69850 0 20 1
-4.222033 32.242948 -67363.6363636364 0 22 1
-4.217573 33.180024 209545.454545455 1.9504132231405 22 1
-4.215667 32.974935 -71636.3636363636 0 22 1
-4.214041 35.448094 -46523.8095238095 0.142292490118577 21 1
-4.212921 35.741583 156888.888888889 2.4695652173913 18 1
-4.198032 35.903512 -43238.0952380952 0 21 1
-4.18354 33.261929 -57909.0909090909 0.979338842975207 22 1
-4.124458 34.642537 -79714.2857142857 0 21 1
-4.011658 33.157539 -74954.5454545455 0.447058823529412 22 1
-3.968246 33.663862 -76150 0 20 1
-3.966931 30.592554 -74357.1428571429 0 14 1
-3.922834 32.497411 -38818.1818181818 0 22 1
-3.915374 37.652272 6100 0 20 1
-3.906413 35.479932 -64857.1428571429 0.266666666666667 21 1
-3.886968 32.791393 -59333.3333333333 0.413333333333333 21 1
-3.798578 35.708364 -38619.0476190476 0 21 1
-3.765994 36.658195 -89954.5454545455 0 22 1
-3.73495 35.566425 -54900 0 20 1
-3.679457 30.474086 -78523.8095238095 0 21 1
-3.651879 37.449574 43105.2631578947 0 19 1
-3.637595 36.574611 -73750 0 20 1
-3.603924 33.470567 -34136.3636363636 2.275 22 1
-3.57854 36.641204 -52380.9523809524 0 21 1
-3.572838 36.909181 -30142.8571428571 1.18939393939394 21 1
-3.544595 33.806492 -67761.9047619048 0 21 1
-3.540984 36.988417 72312.5 5.43181818181818 16 1
-3.530521 30.625931 -64523.8095238095 0 21 1
-3.519164 35.38512 -49000 0 20 1
-3.513942 33.585266 244047.619047619 6.09090909090909 21 1
